"","City","AQI","Date"
"1",NA,NA,NA
"2","Ahmedabad","175",2020-05-25
"3","Aizawl","17",2020-05-25
"4","Amaravati","56",2020-05-25
"5","Amritsar","69",2020-05-25
"6","Bengaluru","55",2020-05-25
"7","Bhopal","40",2020-05-25
"8","Chandigarh","86",2020-05-25
"9","Chennai","62",2020-05-25
"10","Delhi","153",2020-05-25
"11","Ernakulam","101",2020-05-25
"12","Gurugram","142",2020-05-25
"13","Guwahati","30",2020-05-25
"14","Hyderabad","94",2020-05-25
"15","Jaipur","112",2020-05-25
"16","Jorapokhar","145",2020-05-25
"17","Kochi","72",2020-05-25
"18","Kolkata","47",2020-05-25
"19","Lucknow","166",2020-05-25
"20","Mumbai","45",2020-05-25
"21","Patna","111",2020-05-25
"22","Shillong","26",2020-05-25
"23","Talcher","78",2020-05-25
"24","Thiruvananthapuram","43",2020-05-25
"25","Visakhapatnam","76",2020-05-25
"26","Ahmedabad","165",2020-05-26
"27","Amaravati","73",2020-05-26
"28","Amritsar","84",2020-05-26
"29","Bengaluru","58",2020-05-26
"30","Bhopal","61",2020-05-26
"31","Chandigarh","76",2020-05-26
"32","Chennai","67",2020-05-26
"33","Delhi","154",2020-05-26
"34","Ernakulam","97",2020-05-26
"35","Gurugram","147",2020-05-26
"36","Guwahati","36",2020-05-26
"37","Hyderabad","83",2020-05-26
"38","Jaipur","121",2020-05-26
"39","Jorapokhar","140",2020-05-26
"40","Kochi","68",2020-05-26
"41","Kolkata","46",2020-05-26
"42","Lucknow","135",2020-05-26
"43","Mumbai","51",2020-05-26
"44","Patna","96",2020-05-26
"45","Shillong","13",2020-05-26
"46","Talcher","81",2020-05-26
"47","Thiruvananthapuram","40",2020-05-26
"48","Visakhapatnam","66",2020-05-26
"49","Ahmedabad","164",2020-05-27
"50","Amaravati","66",2020-05-27
"51","Amritsar","69",2020-05-27
"52","Bengaluru","60",2020-05-27
"53","Bhopal","107",2020-05-27
"54","Chandigarh","85",2020-05-27
"55","Chennai","58",2020-05-27
"56","Delhi","156",2020-05-27
"57","Ernakulam","101",2020-05-27
"58","Gurugram","156",2020-05-27
"59","Guwahati","44",2020-05-27
"60","Hyderabad","86",2020-05-27
"61","Jaipur","132",2020-05-27
"62","Jorapokhar","145",2020-05-27
"63","Kochi","72",2020-05-27
"64","Kolkata","40",2020-05-27
"65","Lucknow","185",2020-05-27
"66","Mumbai","45",2020-05-27
"67","Patna","104",2020-05-27
"68","Shillong","21",2020-05-27
"69","Talcher","81",2020-05-27
"70","Thiruvananthapuram","43",2020-05-27
"71","Visakhapatnam","39",2020-05-27
"72","Ahmedabad","154",2020-05-28
"73","Amaravati","65",2020-05-28
"74","Amritsar","89",2020-05-28
"75","Bengaluru","58",2020-05-28
"76","Bhopal","107",2020-05-28
"77","Chandigarh","99",2020-05-28
"78","Chennai","62",2020-05-28
"79","Delhi","188",2020-05-28
"80","Ernakulam","101",2020-05-28
"81","Gurugram","151",2020-05-28
"82","Guwahati","49",2020-05-28
"83","Hyderabad","84",2020-05-28
"84","Jaipur","157",2020-05-28
"85","Jorapokhar","142",2020-05-28
"86","Kochi","71",2020-05-28
"87","Kolkata","42",2020-05-28
"88","Lucknow","98",2020-05-28
"89","Mumbai","45",2020-05-28
"90","Patna","111",2020-05-28
"91","Shillong","19",2020-05-28
"92","Talcher","73",2020-05-28
"93","Thiruvananthapuram","50",2020-05-28
"94","Ahmedabad","83",2020-05-29
"95","Amaravati","71",2020-05-29
"96","Amritsar","68",2020-05-29
"97","Bengaluru","49",2020-05-29
"98","Bhopal","106",2020-05-29
"99","Chandigarh","70",2020-05-29
"100","Chennai","97",2020-05-29
"101","Delhi","101",2020-05-29
"102","Ernakulam","100",2020-05-29
"103","Gurugram","100",2020-05-29
"104","Guwahati","53",2020-05-29
"105","Hyderabad","81",2020-05-29
"106","Jaipur","132",2020-05-29
"107","Jorapokhar","133",2020-05-29
"108","Kochi","72",2020-05-29
"109","Kolkata","51",2020-05-29
"110","Lucknow","78",2020-05-29
"111","Mumbai","35",2020-05-29
"112","Patna","79",2020-05-29
"113","Shillong","22",2020-05-29
"114","Talcher","84",2020-05-29
"115","Thiruvananthapuram","37",2020-05-29
"116","Visakhapatnam","76",2020-05-29
"117","Ahmedabad","157",2020-05-30
"118","Amaravati","61",2020-05-30
"119","Amritsar","61",2020-05-30
"120","Bengaluru","56",2020-05-30
"121","Bhopal","117",2020-05-30
"122","Chandigarh","40",2020-05-30
"123","Chennai","86",2020-05-30
"124","Delhi","78",2020-05-30
"125","Ernakulam","91",2020-05-30
"126","Gurugram","68",2020-05-30
"127","Guwahati","54",2020-05-30
"128","Hyderabad","56",2020-05-30
"129","Jaipur","98",2020-05-30
"130","Jorapokhar","138",2020-05-30
"131","Kochi","81",2020-05-30
"132","Kolkata","47",2020-05-30
"133","Lucknow","100",2020-05-30
"134","Mumbai","37",2020-05-30
"135","Patna","85",2020-05-30
"136","Shillong","22",2020-05-30
"137","Thiruvananthapuram","39",2020-05-30
"138","Visakhapatnam","75",2020-05-30
"139","Ahmedabad","86",2020-05-31
"140","Amaravati","62",2020-05-31
"141","Amritsar","33",2020-05-31
"142","Bengaluru","54",2020-05-31
"143","Bhopal","126",2020-05-31
"144","Chandigarh","37",2020-05-31
"145","Chennai","68",2020-05-31
"146","Delhi","72",2020-05-31
"147","Ernakulam","75",2020-05-31
"148","Gurugram","102",2020-05-31
"149","Guwahati","40",2020-05-31
"150","Hyderabad","69",2020-05-31
"151","Jaipur","71",2020-05-31
"152","Jorapokhar","140",2020-05-31
"153","Kochi","62",2020-05-31
"154","Kolkata","50",2020-05-31
"155","Lucknow","67",2020-05-31
"156","Mumbai","43",2020-05-31
"157","Patna","102",2020-05-31
"158","Shillong","22",2020-05-31
"159","Thiruvananthapuram","36",2020-05-31
"160","Visakhapatnam","41",2020-05-31
"161","Ahmedabad","101",2020-06-01
"162","Amaravati","45",2020-06-01
"163","Amritsar","39",2020-06-01
"164","Bengaluru","36",2020-06-01
"165","Bhopal","102",2020-06-01
"166","Chandigarh","41",2020-06-01
"167","Chennai","92",2020-06-01
"168","Delhi","104",2020-06-01
"169","Ernakulam","95",2020-06-01
"170","Gurugram","180",2020-06-01
"171","Guwahati","62",2020-06-01
"172","Hyderabad","46",2020-06-01
"173","Jaipur","92",2020-06-01
"174","Jorapokhar","134",2020-06-01
"175","Kochi","64",2020-06-01
"176","Kolkata","38",2020-06-01
"177","Lucknow","84",2020-06-01
"178","Mumbai","34",2020-06-01
"179","Patna","94",2020-06-01
"180","Shillong","27",2020-06-01
"181","Talcher","95",2020-06-01
"182","Thiruvananthapuram","31",2020-06-01
"183","Visakhapatnam","95",2020-06-01
"184","Ahmedabad","82",2020-06-02
"185","Aizawl","15",2020-06-02
"186","Amaravati","36",2020-06-02
"187","Amritsar","49",2020-06-02
"188","Bengaluru","32",2020-06-02
"189","Bhopal","78",2020-06-02
"190","Brajrajnagar","113",2020-06-02
"191","Chandigarh","48",2020-06-02
"192","Chennai","77",2020-06-02
"193","Delhi","124",2020-06-02
"194","Ernakulam","90",2020-06-02
"195","Gurugram","159",2020-06-02
"196","Guwahati","39",2020-06-02
"197","Hyderabad","56",2020-06-02
"198","Jaipur","104",2020-06-02
"199","Jorapokhar","214",2020-06-02
"200","Kochi","65",2020-06-02
"201","Kolkata","43",2020-06-02
"202","Lucknow","96",2020-06-02
"203","Mumbai","46",2020-06-02
"204","Patna","133",2020-06-02
"205","Shillong","29",2020-06-02
"206","Thiruvananthapuram","26",2020-06-02
"207","Visakhapatnam","37",2020-06-02
"208","Aizawl","15",2020-06-03
"209","Amaravati","35",2020-06-03
"210","Amritsar","314",2020-06-03
"211","Bengaluru","36",2020-06-03
"212","Bhopal","57",2020-06-03
"213","Chandigarh","52",2020-06-03
"214","Chennai","66",2020-06-03
"215","Delhi","122",2020-06-03
"216","Ernakulam","88",2020-06-03
"217","Gurugram","122",2020-06-03
"218","Guwahati","54",2020-06-03
"219","Hyderabad","34",2020-06-03
"220","Jaipur","83",2020-06-03
"221","Jorapokhar","136",2020-06-03
"222","Kochi","68",2020-06-03
"223","Kolkata","49",2020-06-03
"224","Lucknow","119",2020-06-03
"225","Mumbai","32",2020-06-03
"226","Patna","106",2020-06-03
"227","Shillong","35",2020-06-03
"228","Talcher","107",2020-06-03
"229","Thiruvananthapuram","28",2020-06-03
"230","Visakhapatnam","90",2020-06-03
"231","Aizawl","15",2020-06-04
"232","Amaravati","36",2020-06-04
"233","Amritsar","140",2020-06-04
"234","Bengaluru","34",2020-06-04
"235","Bhopal","55",2020-06-04
"236","Chandigarh","60",2020-06-04
"237","Chennai","67",2020-06-04
"238","Delhi","153",2020-06-04
"239","Ernakulam","85",2020-06-04
"240","Gurugram","122",2020-06-04
"241","Guwahati","41",2020-06-04
"242","Hyderabad","32",2020-06-04
"243","Jaipur","78",2020-06-04
"244","Jorapokhar","142",2020-06-04
"245","Kochi","68",2020-06-04
"246","Kolkata","42",2020-06-04
"247","Lucknow","146",2020-06-04
"248","Mumbai","36",2020-06-04
"249","Patna","102",2020-06-04
"250","Shillong","32",2020-06-04
"251","Thiruvananthapuram","31",2020-06-04
"252","Visakhapatnam","59",2020-06-04
"253","Ahmedabad","82",2020-06-05
"254","Aizawl","17",2020-06-05
"255","Amaravati","33",2020-06-05
"256","Amritsar","40",2020-06-05
"257","Bengaluru","51",2020-06-05
"258","Bhopal","31",2020-06-05
"259","Chandigarh","44",2020-06-05
"260","Chennai","69",2020-06-05
"261","Delhi","111",2020-06-05
"262","Ernakulam","91",2020-06-05
"263","Gurugram","142",2020-06-05
"264","Guwahati","36",2020-06-05
"265","Hyderabad","42",2020-06-05
"266","Jaipur","89",2020-06-05
"267","Jorapokhar","137",2020-06-05
"268","Kochi","74",2020-06-05
"269","Kolkata","33",2020-06-05
"270","Lucknow","88",2020-06-05
"271","Mumbai","41",2020-06-05
"272","Patna","64",2020-06-05
"273","Shillong","32",2020-06-05
"274","Thiruvananthapuram","36",2020-06-05
"275","Visakhapatnam","99",2020-06-05
"276","Ahmedabad","71",2020-06-06
"277","Aizawl","17",2020-06-06
"278","Amaravati","42",2020-06-06
"279","Amritsar","40",2020-06-06
"280","Bengaluru","60",2020-06-06
"281","Bhopal","43",2020-06-06
"282","Chandigarh","37",2020-06-06
"283","Chennai","71",2020-06-06
"284","Delhi","102",2020-06-06
"285","Ernakulam","87",2020-06-06
"286","Gurugram","113",2020-06-06
"287","Guwahati","34",2020-06-06
"288","Hyderabad","62",2020-06-06
"289","Jaipur","74",2020-06-06
"290","Jorapokhar","132",2020-06-06
"291","Kochi","76",2020-06-06
"292","Kolkata","49",2020-06-06
"293","Lucknow","79",2020-06-06
"294","Mumbai","30",2020-06-06
"295","Patna","46",2020-06-06
"296","Shillong","13",2020-06-06
"297","Talcher","105",2020-06-06
"298","Ahmedabad","75",2020-06-07
"299","Aizawl","15",2020-06-07
"300","Amaravati","47",2020-06-07
"301","Amritsar","40",2020-06-07
"302","Bengaluru","50",2020-06-07
"303","Bhopal","61",2020-06-07
"304","Chandigarh","37",2020-06-07
"305","Chennai","88",2020-06-07
"306","Delhi","107",2020-06-07
"307","Ernakulam","83",2020-06-07
"308","Gurugram","134",2020-06-07
"309","Guwahati","30",2020-06-07
"310","Hyderabad","60",2020-06-07
"311","Jaipur","73",2020-06-07
"312","Jorapokhar","149",2020-06-07
"313","Kochi","69",2020-06-07
"314","Kolkata","57",2020-06-07
"315","Lucknow","62",2020-06-07
"316","Mumbai","41",2020-06-07
"317","Patna","68",2020-06-07
"318","Shillong","34",2020-06-07
"319","Thiruvananthapuram","26",2020-06-07
"320","Ahmedabad","68",2020-06-08
"321","Aizawl","23",2020-06-08
"322","Amaravati","46",2020-06-08
"323","Amritsar","51",2020-06-08
"324","Bengaluru","47",2020-06-08
"325","Chandigarh","52",2020-06-08
"326","Chennai","68",2020-06-08
"327","Delhi","108",2020-06-08
"328","Ernakulam","104",2020-06-08
"329","Gurugram","119",2020-06-08
"330","Guwahati","42",2020-06-08
"331","Hyderabad","53",2020-06-08
"332","Jaipur","66",2020-06-08
"333","Jorapokhar","141",2020-06-08
"334","Kochi","76",2020-06-08
"335","Kolkata","47",2020-06-08
"336","Lucknow","82",2020-06-08
"337","Mumbai","36",2020-06-08
"338","Patna","73",2020-06-08
"339","Shillong","35",2020-06-08
"340","Thiruvananthapuram","33",2020-06-08
"341","Visakhapatnam","119",2020-06-08
"342","Ahmedabad","74",2020-06-09
"343","Aizawl","18",2020-06-09
"344","Amaravati","55",2020-06-09
"345","Amritsar","84",2020-06-09
"346","Bengaluru","53",2020-06-09
"347","Bhopal","63",2020-06-09
"348","Chandigarh","56",2020-06-09
"349","Chennai","70",2020-06-09
"350","Delhi","139",2020-06-09
"351","Ernakulam","105",2020-06-09
"352","Gurugram","144",2020-06-09
"353","Guwahati","55",2020-06-09
"354","Hyderabad","53",2020-06-09
"355","Jaipur","88",2020-06-09
"356","Jorapokhar","148",2020-06-09
"357","Kochi","87",2020-06-09
"358","Kolkata","46",2020-06-09
"359","Lucknow","174",2020-06-09
"360","Mumbai","34",2020-06-09
"361","Patna","93",2020-06-09
"362","Shillong","40",2020-06-09
"363","Thiruvananthapuram","37",2020-06-09
"364","Ahmedabad","90",2020-06-10
"365","Amaravati","42",2020-06-10
"366","Amritsar","77",2020-06-10
"367","Bengaluru","72",2020-06-10
"368","Bhopal","48",2020-06-10
"369","Chandigarh","68",2020-06-10
"370","Chennai","70",2020-06-10
"371","Delhi","152",2020-06-10
"372","Ernakulam","104",2020-06-10
"373","Gurugram","127",2020-06-10
"374","Guwahati","66",2020-06-10
"375","Hyderabad","47",2020-06-10
"376","Jaipur","85",2020-06-10
"377","Jorapokhar","142",2020-06-10
"378","Kochi","81",2020-06-10
"379","Kolkata","37",2020-06-10
"380","Lucknow","200",2020-06-10
"381","Mumbai","40",2020-06-10
"382","Patna","100",2020-06-10
"383","Shillong","27",2020-06-10
"384","Thiruvananthapuram","44",2020-06-10
"385","Ahmedabad","70",2020-06-11
"386","Amaravati","40",2020-06-11
"387","Amritsar","78",2020-06-11
"388","Bengaluru","42",2020-06-11
"389","Bhopal","60",2020-06-11
"390","Chandigarh","66",2020-06-11
"391","Chennai","78",2020-06-11
"392","Delhi","141",2020-06-11
"393","Ernakulam","105",2020-06-11
"394","Gurugram","132",2020-06-11
"395","Guwahati","79",2020-06-11
"396","Hyderabad","41",2020-06-11
"397","Jaipur","90",2020-06-11
"398","Jorapokhar","141",2020-06-11
"399","Kochi","90",2020-06-11
"400","Kolkata","26",2020-06-11
"401","Lucknow","174",2020-06-11
"402","Mumbai","35",2020-06-11
"403","Patna","83",2020-06-11
"404","Shillong","25",2020-06-11
"405","Thiruvananthapuram","39",2020-06-11
"406","Visakhapatnam","94",2020-06-11
"407","Ahmedabad","87",2020-06-12
"408","Aizawl","17",2020-06-12
"409","Amaravati","37",2020-06-12
"410","Amritsar","86",2020-06-12
"411","Bengaluru","42",2020-06-12
"412","Bhopal","70",2020-06-12
"413","Chandigarh","78",2020-06-12
"414","Chennai","112",2020-06-12
"415","Delhi","153",2020-06-12
"416","Ernakulam","114",2020-06-12
"417","Gurugram","166",2020-06-12
"418","Guwahati","27",2020-06-12
"419","Hyderabad","42",2020-06-12
"420","Jaipur","96",2020-06-12
"421","Jorapokhar","119",2020-06-12
"422","Kochi","80",2020-06-12
"423","Kolkata","31",2020-06-12
"424","Lucknow","164",2020-06-12
"425","Mumbai","38",2020-06-12
"426","Patna","72",2020-06-12
"427","Shillong","29",2020-06-12
"428","Thiruvananthapuram","47",2020-06-12
"429","Ahmedabad","68",2020-06-13
"430","Aizawl","11",2020-06-13
"431","Amaravati","41",2020-06-13
"432","Amritsar","104",2020-06-13
"433","Bengaluru","45",2020-06-13
"434","Bhopal","59",2020-06-13
"435","Chandigarh","87",2020-06-13
"436","Chennai","60",2020-06-13
"437","Delhi","123",2020-06-13
"438","Ernakulam","100",2020-06-13
"439","Gurugram","142",2020-06-13
"440","Guwahati","39",2020-06-13
"441","Hyderabad","31",2020-06-13
"442","Jaipur","108",2020-06-13
"443","Jorapokhar","93",2020-06-13
"444","Kochi","82",2020-06-13
"445","Kolkata","33",2020-06-13
"446","Lucknow","111",2020-06-13
"447","Mumbai","33",2020-06-13
"448","Patna","58",2020-06-13
"449","Shillong","26",2020-06-13
"450","Thiruvananthapuram","50",2020-06-13
"451","Ahmedabad","55",2020-06-14
"452","Amaravati","39",2020-06-14
"453","Amritsar","84",2020-06-14
"454","Bengaluru","42",2020-06-14
"455","Bhopal","47",2020-06-14
"456","Chandigarh","54",2020-06-14
"457","Chennai","61",2020-06-14
"458","Delhi","154",2020-06-14
"459","Ernakulam","90",2020-06-14
"460","Gurugram","167",2020-06-14
"461","Guwahati","26",2020-06-14
"462","Hyderabad","33",2020-06-14
"463","Jaipur","82",2020-06-14
"464","Jorapokhar","80",2020-06-14
"465","Kochi","67",2020-06-14
"466","Kolkata","30",2020-06-14
"467","Lucknow","86",2020-06-14
"468","Mumbai","32",2020-06-14
"469","Patna","54",2020-06-14
"470","Thiruvananthapuram","36",2020-06-14
"471","Ahmedabad","56",2020-06-15
"472","Aizawl","11",2020-06-15
"473","Amaravati","35",2020-06-15
"474","Amritsar","99",2020-06-15
"475","Bengaluru","36",2020-06-15
"476","Bhopal","83",2020-06-15
